id;tipo_contador;fecha_ingreso_contador;tag;estado
1;CONTADORES;2023-08-26T02:27:31;Suecia Morado Algodón;ACTIVO
2;GENERADORES;2023-08-26T04:45:33;Verde;ACTIVO
3;GENERADORES;2023-08-25T22:47:38;a intangible contingencia;ACTIVO
4;GENERADORES;2023-08-26T04:05:51;Gabón;ACTIVO
5;CONTADORES;2023-08-26T00:38:01;Sorprendente;ACTIVO
6;GENERADORES;2023-08-26T10:59:23;Directo Pantalones Ejecutivo;INACTIVO
7;GENERADORES;2023-08-25T22:03:37;Egipto sinergia;INACTIVO
8;PRODUCCION;2023-08-26T03:59:13;Orgánico;ACTIVO
9;PRODUCCION;2023-08-25T18:52:20;Comunicaciones;ACTIVO
10;GENERADORES;2023-08-26T02:08:37;Proactivo Regional Rojo;INACTIVO
